Date,Open,High,Low,Close,Adj Close,Volume
2022-11-27,1344603.750000,1355248.750000,1342395.625000,1343016.500000,1343016.500000,1669633033541
2022-11-28,1342656.750000,1346144.875000,1311117.125000,1324153.250000,1324153.250000,2265233262656
2022-11-29,1324179.250000,1349349.750000,1317790.625000,1342422.125000,1342422.125000,1924998924567
2022-11-30,1342462.375000,1397715.125000,1342462.375000,1395897.875000,1395897.875000,2400427532080
2022-12-01,1395852.000000,1395602.500000,1370534.875000,1377094.000000,1377094.000000,1858246065556
2022-12-02,1377219.875000,1391384.375000,1375919.500000,1391384.375000,1391384.375000,1590952101036
2022-12-03,1391501.500000,1393613.750000,1375226.625000,1376863.125000,1376863.125000,1320637883655
2022-12-04,1376857.625000,1397074.500000,1376472.500000,1394853.125000,1394853.125000,1369939822072
2022-12-05,1394723.500000,1415677.375000,1385876.000000,1390254.375000,1390254.375000,1818945354763
2022-12-06,1390288.250000,1407898.750000,1397475.125000,1407704.375000,1407704.375000,1638381715407
2022-12-07,1407704.625000,1409344.875000,1381167.125000,1385821.750000,1385821.750000,1618375813416
2022-12-08,1385757.750000,1421216.625000,1383173.375000,1417959.250000,1417959.250000,1686447419861
2022-12-09,1417850.125000,1422888.625000,1409811.625000,1412458.750000,1412458.750000,1675877502490
2022-12-10,1412546.875000,1419357.625000,1411448.875000,1412111.625000,1412111.625000,1047561718307
2022-12-11,1412193.125000,1421750.000000,1408843.250000,1409863.125000,1409863.125000,1164087257174
2022-12-12,1409723.625000,1422531.375000,1394140.625000,1422027.125000,1422027.125000,1621296206586
2022-12-13,1422027.375000,1477996.000000,1415104.125000,1465217.125000,1465217.125000,2194757338254
2022-12-14,1465278.750000,1510676.000000,1465561.500000,1469715.500000,1469715.500000,2106486327402
2022-12-15,1469550.000000,1472362.750000,1435315.875000,1438818.750000,1438818.750000,1737073183056
2022-12-16,1438792.375000,1449184.375000,1371261.250000,1376452.250000,1376452.250000,1986988701473
2022-12-17,1376410.750000,1389129.125000,1373686.875000,1388674.375000,1388674.375000,1195897398308
2022-12-18,1388717.250000,1390920.375000,1380631.750000,1386171.625000,1386171.625000,903631158491
2022-12-19,1386259.625000,1390546.375000,1354350.000000,1357627.375000,1357627.375000,1422156827629
2022-12-20,1357801.375000,1404831.375000,1356651.875000,1397088.875000,1397088.875000,1877689306268
2022-12-21,1396942.000000,1397956.125000,1388138.500000,1393817.875000,1393817.875000,1233481340162
2022-12-22,1393888.000000,1395520.000000,1377057.625000,1394817.000000,1394817.000000,1362597734113
2022-12-23,1394759.125000,1400530.250000,1391846.625000,1387501.375000,1387501.375000,1266263988861
2022-12-24,1387503.375000,1393097.875000,1387218.500000,1391697.875000,1391697.875000,804949340386
2022-12-25,1391677.250000,1392755.125000,1384056.750000,1392458.125000,1392458.125000,963723627772
2022-12-26,1392479.750000,1402731.750000,1390870.500000,1402705.375000,1402705.375000,985466364712
2022-12-27,1402662.750000,1406026.250000,1378261.750000,1383756.750000,1383756.750000,1303581799925
2022-12-28,1383692.625000,1388475.250000,1366746.750000,1371422.000000,1371422.000000,1408965912561
2022-12-29,1371401.250000,1379199.500000,1367794.625000,1378579.375000,1378579.375000,1198817299816
2022-12-30,1378495.500000,1378655.750000,1356638.000000,1373863.750000,1373863.750000,1318138039617
2022-12-31,1373953.875000,1376374.625000,1367148.500000,1369629.625000,1369629.625000,930262967308
2023-01-01,1369664.250000,1376154.125000,1367455.875000,1375710.750000,1375710.750000,764962758650
2023-01-02,1375746.250000,1385510.125000,1371263.250000,1380239.125000,1380239.125000,1000560388369
2023-01-03,1380270.250000,1387480.125000,1376880.625000,1380747.875000,1380747.875000,1150887970938
2023-01-04,1380776.625000,1402776.125000,1380015.875000,1394025.750000,1394025.750000,1522862039127
2023-01-05,1394045.125000,1395749.000000,1387225.750000,1391479.625000,1391479.625000,1131644179774
2023-01-06,1391457.875000,1397210.625000,1383632.500000,1394699.500000,1394699.500000,1185863937016
2023-01-07,1394711.750000,1396596.500000,1391592.375000,1394956.125000,1394956.125000,634722054332
2023-01-08,1394879.500000,1406154.000000,1392403.375000,1406154.000000,1406154.000000,803718935959
2023-01-09,1406388.375000,1428741.625000,1406388.375000,1413218.750000,1413218.750000,1530587338420
2023-01-10,1412922.625000,1427427.250000,1411509.875000,1424274.375000,1424274.375000,1290555657991
2023-01-11,1424279.875000,1464062.375000,1415104.500000,1464062.375000,1464062.375000,1499767225050
2023-01-12,1478976.375000,1543344.625000,1465394.375000,1530618.750000,1530618.750000,2836722556117
